Chunk_ID,Chunk_Index,Content,Content_Length,Quality_Score,Reliability,Source_Type,Original_Content,Enhancement_Version,book_name,chunkIndex,chunkSize,enhancementTimestamp,enhancementVersion,extractedAt,grade,loc_lines,publisher,qualityMetrics_chineseCharRatio,qualityMetrics_coherenceScore,qualityMetrics_lengthScore,qualityMetrics_ocrConfidence,semester,source,source_file,subject,totalPages
人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册_chunk_0,0,九年级\n®\n全一册全一册九年级俄\n语九年级全一册俄语\nEYU\nYIWU JIAOYU JIAOKESHU\n俄语义务教育教科书义 务教 育教 科书：19.90元绿色印刷产品初中封面俄语9.indd 12014.7.4 5:23:00 PM\n\nТяньаньмэ\ń\nнь\nВели\ń\nкая кита\ń\nйская стена\ń\n\nПло\ń\nщадь Декабри\ń\nстов\nЗи\ń\nмний дворе\ń\nц\n\nПа\ń\nмятник А.С. Пу\ń\nшкину\n\nПетродворе\ń\nц\n\n৵\n·北京·\n\n义务教育教科书俄语九年级全一册人民教育出版社课程教材研究所俄语课程教材研究开发中心编\n著俄罗斯国立普希金俄语学院出版发行网 \n（北京市海淀区中关村南大街\n 17 号院 1 号楼邮编：100081）\n址 http://www.pep.com.cn 版权所有·未经许可不得采用任何方式擅自复制或使用本产品任何部分·违者必究如发现内容质量问题，请登录中小学教材意见反馈平台：jcyjfk.pep.com.cn\n如发现印、装质量问题，影响阅读，请与本社联系。电话：400-810-5788\n绿色印刷保护环境爱护健康亲爱的同学们： 你们手中的这本教科书采用绿色印刷标准印制，在它的封底印有“绿色印刷产品”标志。从2013\n年秋季学期起，北京地区出版并使用的义务教育阶段中小学教科书全部采用绿色印刷。 按照国家环境标准（HJ2503-2011）《环境标志产品技术要求印刷第一部分：平版印刷》，绿色印刷选用环保型纸张、油墨、胶水等原辅材料，生产过程注重节能减排，印刷产品符合人体健康要求。 让我们携起手来，支持绿色印刷，选择绿色印刷产品，共同关爱环境，一起健康成长！ 北京市绿色印刷工程主 编：丁曙\n主要编写人员： Н. Д. Литвинова И. А. Сапегина\n丁曙 田旭 李莹 刘英姿责任编辑：刘英姿美术编辑：张傲冰插 图：金葆,834,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册,0,919,2025-07-21T14:24:49.761Z,2.0,2025-07-17T02:34:37.952Z,九年级,[object Object],人教版,0.6010709504685409,0.7999999999999999,0.834,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/九年级/义务教育教科书·俄语九年级全一册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册.json,俄语,330
人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册_chunk_1,1,前言\n亲爱的同学们： 你们好！通过八年级一年的学习，你们已经更好地掌握了俄语这门语言，对俄罗斯的文化也有了进一步的了解。这本教科书将陪伴你们度过九年级的美好时光。 全书共有14课，分为主题活动课和复习课。 1~6课和8~13课为主题活动课。每一课围绕1个主题和若干个语法点，通过对话、短文、小诗歌、看图说话和转述笑话等丰富多彩的构件，展开多种活动，培养综合语言运用能力。 第7课和第14课为复习课。它们分别归纳本单元学习的主要内容，同时从基本语言知识、听、说、\n读、写等几个方面帮助你们进行自我检测。 在本书的附录中，我们把语法知识进行了归纳总结，希望能在你们的头脑中形成一个比较完整的语法体系，对今后的学习起到辅助作用。 本书中画的练习配有录音，希望你们认真听， 培养自己的语感，能用正确的语音语调来表达自己的想法。 祝你们学习愉快！,368,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册,1,385,2025-07-21T14:24:49.761Z,2.0,2025-07-17T02:34:37.952Z,九年级,[object Object],人教版,0.8743016759776536,0.7999999999999999,0.368,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/九年级/义务教育教科书·俄语九年级全一册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册.json,俄语,330
人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册_chunk_2,2,"目录\n课次、\n主题和页码\nВы нау\ń\nчитесь\nВы узна\ń\nете типовы\ń\nе \nпредложе\ń\nния:\nУро\ń\nк 1\nДава\ń\nйте \nпознако\ń\nмимся!\n\nзнако\ń\nмиться друг с \nдру\ń\nгом, представля\ń\nть \nсвои\ń\nх друзе\ń\nй ва\ń\nшему \nучи\ń\nтелю ру\ń\nсского \nязыка\ń\n, говори\ń\nть, отку\ń\nда \nони\ń\n прие\ń\nхали.\n— Что нра\ń\nвится ва\ń\nшим но\ń\nвым \nдрузья\ń\nм?\n— Им нра\ń\nвится кита\ń\nйская \nку\ń\nхня.\nУро\ń\nк 2\nО на\ń\nших \nшко\ń\nлах\n22\nрасска\ń\nзывать о ва\ń\nших \nшко\ń\nлах, о ва\ń\nших уро\ń\nках \nи шко\ń\nльных учителя\ń\nх.\nВи\ń\nктор рассказа\ń\nл о свои\ń\nх \nшко\ń\nльных учителя\ń\nх.\nУчи\ń\nтель у\ń\nчит нас ру\ń\nсскому \nязыку\ń\n.\nЯ учу\ń\nсь чита\ń\nть по-ру\ń\nсски.\nУро\ń\nк 3\nЯ люблю\ń\n мои\ń\nх \nроди\ń\nтелей\n43\nрасска\ń\nзывать о \nсвое\ń\nй семье\ń\n, о свои\ń\nх \nроди\ń\nтелях, о де\ń\nдушке \nи ба\ń\nбушке, о бра\ń\nтьях и \nсёстрах.\nЯ люблю\ń\n мои\ń\nх роди\ń\nтелей.\nЯ покажу\ń\n вам мои\ń\n ста\ń\nрые \nфотогра\ń\nфии.\nУро\ń\nк 4\nНаш го\ń\nрод\n64\nрасска\ń\nзывать о своём \nго\ń\nроде, о свое\ń\nй \nРо\ń\nдине; спра\ń\nшивать и \nрасска\ń",979,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册,2,989,2025-07-21T14:24:49.761Z,2.0,2025-07-17T02:34:37.952Z,九年级,[object Object],人教版,0.01308139534883721,0.6,0.979,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/九年级/义务教育教科书·俄语九年级全一册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册.json,俄语,330
人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册_chunk_3,3,"Я люблю\ń\n мои\ń\nх роди\ń\nтелей.\nЯ покажу\ń\n вам мои\ń\n ста\ń\nрые \nфотогра\ń\nфии.\nУро\ń\nк 4\nНаш го\ń\nрод\n64\nрасска\ń\nзывать о своём \nго\ń\nроде, о свое\ń\nй \nРо\ń\nдине; спра\ń\nшивать и \nрасска\ń\nзывать о Москве\ń и други\ń\nх города\ń\nх.\n— Ско\ń\nлько интере\ń\nсных музе\ń\nев \nв ва\ń\nшем го\ń\nроде?\n— В на\ń\nшем го\ń\nроде есть/бы\ń\nло/\nбу\ń\nдет мно\ń\nго/ма\ń\nло/не\ń\nсколько \nинтере\ń\nсных музе\ń\nев.\nНа э\ń\nтой у\ń\nлице нет/не\ń\n было/не \nбу\ń\nдет но\ń\nвых гости\ń\nниц.",466,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册,3,472,2025-07-21T14:24:49.761Z,2.0,2025-07-17T02:34:37.952Z,九年级,[object Object],人教版,,0.5,0.466,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/九年级/义务教育教科书·俄语九年级全一册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册.json,俄语,330
人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册_chunk_4,4,语法\nТекст\nПе\ń\nсня и \nстихотворе\ń\nние\n名词复数第三格形容词和代词复数第三格\nСпаси\ń\nбо Интерне\ń\nтуЗдра\ń\nвствуй!\n名词复数第六格形容词和代词复数第六格\nКосмона\ń\nвтО подру\ń\nгах и друзья\ń\nх\nКак хорошо\ń\n уме\ń\nть \nчита\ń\nть!\n名词复数第四格形容词和代词复数第四格\nСемь летМа\ń\nма\n名词复数第二格形容词和代词复数第二格\nО чём ду\ń\nмает Са\ń\nша? Больши\ń\nе города\ń,286,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册,4,296,2025-07-21T14:24:49.761Z,2.0,2025-07-17T02:34:37.952Z,九年级,[object Object],人教版,0.32599118942731276,0.5,0.286,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/九年级/义务教育教科书·俄语九年级全一册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册.json,俄语,330
人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册_chunk_5,5,"课次、\n主题和页码\nВы нау\ń\nчитесь\nВы узна\ń\nете типовы\ń\nе \nпредложе\ń\nния:\nУро\ń\nк 5 \nЯ интересу\ń\nюсь \nиностра\ń\nнными \nязыка\ń\nми\n86\nрасска\ń\nзывать, чем вы \nинтересу\ń\nетесь, чем вы \nзанима\ń\nетесь, кем вы \nхоти\ń\nте быть, кем вы \nбу\ń\nдете.\nЯ занима\ń\nюсь иностра\ń\nнными \nязыка\ń\nми.\nОни\ń\n хотя\ń\nт быть/стать врача\ń\nми.\nУро\ń\nк 6\nМой день\n106\nговори\ń\nть и спра\ń\nшивать \nо вре\ń\nмени; \nрасска\ń\nзывать, как вы \nпрово\ń\nдите свой день; \nспра\ń\nшивать, что де\ń\nлают \nва\ń\nши друзья\ń\n обы\ń\nчно \nу\ń\nтром, днём и ве\ń\nчером.\n— Кото\ń\nрый час?/Ско\ń\nлько \nсейча\ń\nс вре\ń\nмени?\n— Сейча\ń\nс во\ń\nсемь часо\ń\nв утра\ń\n.\nЯ обы\ń\nчно встаю\ń\n в шесть (часо\ń\nв)\nпятна\ń\nдцать (мину\ń\nт) утра\ń\n. \nСего\ń\nдня я встал в семь (часо\ń\nв) \nтри\ń\nдцать (мину\ń\nт).\nУро\ń\nк 7\n复习\n1~6\n课\n124\nУро\ń\nк 8\nМагази\ń\nн 145\nспра\ń\nшивать о том, \nско\ń\nлько э\ń\nто сто\ń\nит; \nговори\ń\nть, э\ń\nто до\ń\nрого \nи\ń\nли недо\ń\nрого; выража\ń\nть \nпро\ń\nсьбу по-ру\ń\nсски.\nПокажи\ń\n(-те), пожа\ń\nлуйста, э\ń\nту \nкни\ń",987,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册,5,996,2025-07-21T14:24:49.761Z,2.0,2025-07-17T02:34:37.952Z,九年级,[object Object],人教版,0.014084507042253521,0.6,0.987,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/九年级/义务教育教科书·俄语九年级全一册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册.json,俄语,330
人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册_chunk_6,6,"́\nн 145\nспра\ń\nшивать о том, \nско\ń\nлько э\ń\nто сто\ń\nит; \nговори\ń\nть, э\ń\nто до\ń\nрого \nи\ń\nли недо\ń\nрого; выража\ń\nть \nпро\ń\nсьбу по-ру\ń\nсски.\nПокажи\ń\n(-те), пожа\ń\nлуйста, э\ń\nту \nкни\ń\nгу.\nНе покупа\ń\nй э\ń\nту кни\ń\nгу!\nПриходи\ń\nте к нам ещё!\n— Ско\ń\nлько сто\ń\nит э\ń\nтот слова\ń\nрь/\nсто\ń\nят э\ń\nти карандаши\ń\n?\n— Слова\ń\nрь сто\ń\nит 100 рубле\ń\nй, \nкарандаши\ń\n сто\ń\nят 24 рубля\ń\n 58 \nкопе\ń\nек.\nЭто (о\ń\nчень) до\ń\nрого/недо\ń\nрого!",448,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册,6,454,2025-07-21T14:24:49.761Z,2.0,2025-07-17T02:34:37.952Z,九年级,[object Object],人教版,,0.5,0.448,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/九年级/义务教育教科书·俄语九年级全一册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册.json,俄语,330
人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册_chunk_7,7,语法\nТекст\nПе\ń\nсня и \nстихотворе\ń\nние\n名词复数第五格形容词和代词复数第五格\nКем быть?Футбо\ń\nл\n钟点表示法\nКак найти\ń\n бо\ń\nльше \nсвобо\ń\nдного вре\ń\nмени?\nЧасы\ń\n动词第二人称命令式第二人称命令式的构成动词第二人称命令式的用法\nПода\ń\nрок ма\ń\nмеТру\ń\nдный глаго\ń\nл,209,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册,7,221,2025-07-21T14:24:49.761Z,2.0,2025-07-17T02:34:37.952Z,九年级,[object Object],人教版,0.3373493975903614,0.5,0.209,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/九年级/义务教育教科书·俄语九年级全一册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册.json,俄语,330
人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册_chunk_8,8,"课次、\n主题和页码\nВы нау\ń\nчитесь\nВы узна\ń\nете типовы\ń\nе \nпредложе\ń\nния:\nУро\ń\nк 9\nМоё свобо\ń\nдное \nвре\ń\nмя\n170\nрасска\ń\nзывать о том, \nчто вы лю\ń\nбите де\ń\nлать \nв свобо\ń\nдное вре\ń\nмя, \nкак вы отдыха\ń\nете, что \nвы на\ń\nчали и ко\ń\nнчили \nде\ń\nлать.\nШко\ń\nльники уже\ń\n на\ń\nчали \nотдыха\ń\nть.\nШко\ń\nльники ко\ń\nнчили отдыха\ń\nть в \nконце\ń\n а\ń\nвгуста.\nДире\ń\nктор обы\ń\nчно открыва\ń\nет \nмагази\ń\nн в де\ń\nвять часо\ń\nв утра\ń\n.\nОбы\ń\nчно магази\ń\nн открыва\ń\nется в \nде\ń\nвять часо\ń\nв утра\ń\n.\nУро\ń\nк 10 \nДрузья\ń\n189\nрасска\ń\nзывать о свои\ń\nх \nдрузья\ń\nх; говори\ń\nть, кто \nи что до\ń\nлжен де\ń\nлать, \nкому\ń\n что на\ń\nдо/ну\ń\nжно/\nнельзя\ń\n де\ń\nлать. \nМне на\ń\nдо мно\ń\nго рабо\ń\nтать.\nНам ну\ń\nжно прочита\ń\nть текст.\nТебе\ń\n нельзя\ń\n мно\ń\nго занима\ń\nться.\nОн до\ń\nлжен хорошо\ń\n учи\ń\nться.\nУро\ń\nк 11\nНаш райо\ń\nн\n207\nговори\ń\nть о том, что \nгде нахо\ń\nдится, кто где \nнахо\ń\nдится.\nМы живём на э\ń\nтой краси\ń\nвой \nу\ń\nлице в э\ń\nтом но\ń\nвом до\ń\nме.\nЗа э\ń\nтим краси\ń\nвым до",994,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册,8,997,2025-07-21T14:24:49.761Z,2.0,2025-07-17T02:34:37.952Z,九年级,[object Object],人教版,0.009943181818181818,0.6,0.994,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/九年级/义务教育教科书·俄语九年级全一册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册.json,俄语,330
人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册_chunk_9,9,"́\nться.\nУро\ń\nк 11\nНаш райо\ń\nн\n207\nговори\ń\nть о том, что \nгде нахо\ń\nдится, кто где \nнахо\ń\nдится.\nМы живём на э\ń\nтой краси\ń\nвой \nу\ń\nлице в э\ń\nтом но\ń\nвом до\ń\nме.\nЗа э\ń\nтим краси\ń\nвым до\ń\nмом/э\ń\nтими \nкраси\ń\nвыми дома\ń\nми небольшо\ń\nй \nлес.\nМы ча\ń\nсто гуля\ń\nем по э\ń\nтому \nбольшо\ń\nму па\ń\nрку/э\ń\nтим больши\ń\nм \nпа\ń\nркам.\nОколо э\ń\nтого ле\ń\nса/э\ń\nтих лесо\ń\nв \nбольшо\ń\nе о\ń\nзеро.",403,0,unknown,text-extracted,,2.0,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册,9,403,2025-07-21T14:24:49.761Z,2.0,2025-07-17T02:34:37.952Z,九年级,[object Object],人教版,,0.5,0.403,1,全一册,/Users/LeoQin/Documents/GitHub/PDFconvertor/training_data/初中/俄语/人教版-人民教育出版社/九年级/义务教育教科书·俄语九年级全一册.pdf,人教版-人民教育出版社_九年级_义务教育教科书·俄语九年级全一册.json,俄语,330
